text,entities
Can you spot the raccoon in this photo?,"[(17, 24, 'ANIMAL')]"
This is a photo of a raccoon.,"[(21, 28, 'ANIMAL')]"
The raccoon is clearly visible in the image.,"[(4, 11, 'ANIMAL')]"
There's a raccoon in the foreground.,"[(10, 17, 'ANIMAL')]"
I believe this image contains a raccoon.,"[(32, 39, 'ANIMAL')]"
Is there a raccoon in this picture?,"[(11, 18, 'ANIMAL')]"
There is a wolf in the picture.,"[(11, 15, 'ANIMAL')]"
I can see a wolf in this image.,"[(12, 16, 'ANIMAL')]"
The picture shows a wolf.,"[(20, 24, 'ANIMAL')]"
Look at this wolf.,"[(13, 17, 'ANIMAL')]"
Can you spot the wolf in this photo?,"[(17, 21, 'ANIMAL')]"
This is a photo of a wolf.,"[(21, 25, 'ANIMAL')]"
The wolf is clearly visible in the image.,"[(4, 8, 'ANIMAL')]"
There's a wolf in the foreground.,"[(10, 14, 'ANIMAL')]"
I believe this image contains a wolf.,"[(32, 36, 'ANIMAL')]"
Is there a wolf in this picture?,"[(11, 15, 'ANIMAL')]"
This is a beautiful landscape.,[]
I can see a car in this image.,[]
The picture shows a building.,[]
There is a tree in the foreground.,[]
This is a photo of the beach.,[]
